NTP Timestamp (ms),Arduino Timestamp (ms),Frequency (Hz)
2025-04-27 21:54:07.096,19320,50.1500
2025-04-27 21:54:07.141,19340,50.0800
2025-04-27 21:54:07.188,19360,50.0700
2025-04-27 21:54:07.236,19380,50.1400
2025-04-27 21:54:07.278,19400,50.0300
2025-04-27 21:54:07.343,19420,50.1400
2025-04-27 21:54:07.389,19440,50.1400
2025-04-27 21:54:07.438,19460,50.0700
2025-04-27 21:54:07.488,19480,50.1400
2025-04-27 21:54:07.540,19500,50.0300
2025-04-27 21:54:07.582,19520,50.1400
2025-04-27 21:54:07.637,19540,50.1000
2025-04-27 21:54:07.680,19560,50.1000
2025-04-27 21:54:07.737,19580,50.0700
2025-04-27 21:54:07.784,19600,50.0700
2025-04-27 21:54:07.833,19620,50.0600
2025-04-27 21:54:07.882,19640,50.0600
2025-04-27 21:54:07.925,19660,50.1400
2025-04-27 21:54:07.972,19680,50.1000
2025-04-27 21:54:08.037,19700,50.0700
2025-04-27 21:54:08.082,19720,50.1100
2025-04-27 21:54:08.131,19740,50.0900
2025-04-27 21:54:08.179,19760,50.1000
2025-04-27 21:54:08.225,19780,50.1100
2025-04-27 21:54:08.270,19800,50.0800
2025-04-27 21:54:08.322,19820,50.1200
2025-04-27 21:54:08.367,19840,50.1000
2025-04-27 21:54:08.420,19860,50.0500
2025-04-27 21:54:08.466,19880,50.1100
2025-04-27 21:54:08.514,19900,50.0700
2025-04-27 21:54:08.562,19920,50.0600
2025-04-27 21:54:08.611,19940,50.1300
2025-04-27 21:54:08.718,19960,50.0800
2025-04-27 21:54:08.766,19980,50.0600
2025-04-27 21:54:08.816,20000,50.0800
2025-04-27 21:54:08.859,20020,50.1100
2025-04-27 21:54:08.915,20040,50.0300
2025-04-27 21:54:08.963,20060,50.1000
2025-04-27 21:54:09.026,20080,50.1200
2025-04-27 21:54:09.075,20100,50.0800
2025-04-27 21:54:09.124,20120,50.1000
2025-04-27 21:54:09.171,20140,50.1000
2025-04-27 21:54:09.219,20160,50.0800
2025-04-27 21:54:09.270,20180,50.0900
2025-04-27 21:54:09.324,20200,50.0900
2025-04-27 21:54:09.373,20220,50.0800
2025-04-27 21:54:09.422,20240,50.0900
2025-04-27 21:54:09.469,20260,50.1200
2025-04-27 21:54:09.519,20280,50.0700
2025-04-27 21:54:09.574,20300,50.1100
2025-04-27 21:54:09.625,20320,50.1000
2025-04-27 21:54:09.672,20340,50.0800
2025-04-27 21:54:09.720,20360,50.1100
2025-04-27 21:54:09.771,20380,50.1100
2025-04-27 21:54:09.818,20400,50.0700
2025-04-27 21:54:09.867,20420,50.1000
2025-04-27 21:54:09.915,20440,50.0900
2025-04-27 21:54:09.962,20460,50.0500
2025-04-27 21:54:10.005,20480,50.1300
2025-04-27 21:54:10.100,20500,50.0600
2025-04-27 21:54:10.143,20520,50.0900
2025-04-27 21:54:10.194,20540,50.1100
2025-04-27 21:54:10.249,20560,50.0800
2025-04-27 21:54:10.296,20580,50.1100
2025-04-27 21:54:10.346,20600,50.1100
2025-04-27 21:54:10.394,20620,50.0800
2025-04-27 21:54:10.443,20640,50.0600
2025-04-27 21:54:10.490,20660,50.1700
2025-04-27 21:54:10.543,20680,50.0600
2025-04-27 21:54:10.587,20700,50.0800
2025-04-27 21:54:10.638,20720,50.1300
2025-04-27 21:54:10.684,20740,50.0600
2025-04-27 21:54:10.738,20760,50.0900
2025-04-27 21:54:10.787,20780,50.1100
2025-04-27 21:54:10.837,20800,50.0900
2025-04-27 21:54:10.879,20820,50.0800
2025-04-27 21:54:10.929,20840,50.1000
2025-04-27 21:54:10.976,20860,50.0800
2025-04-27 21:54:11.030,20880,50.0900
2025-04-27 21:54:11.079,20900,50.1400
2025-04-27 21:54:11.122,20920,50.0600
2025-04-27 21:54:11.175,20940,50.1000
2025-04-27 21:54:11.212,20960,50.1200
2025-04-27 21:54:11.274,20980,50.0400
2025-04-27 21:54:11.328,21000,50.1500
2025-04-27 21:54:11.378,21020,50.1100
2025-04-27 21:54:11.426,21040,50.0700
2025-04-27 21:54:11.468,21060,50.1000
2025-04-27 21:54:11.525,21080,50.0800
2025-04-27 21:54:11.567,21100,50.1100
2025-04-27 21:54:11.614,21120,50.0600
2025-04-27 21:54:11.662,21140,50.0900
2025-04-27 21:54:11.703,21160,50.0800
2025-04-27 21:54:11.785,21180,50.1300
